channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixation_power_canceled,fixation_power_nostop,stopSignal_power_canceled,stopSignal_power_nostop,ssrt_power_canceled,ssrt_power_nostop,laminar,upper_lower
13,19,eulsef20120915c-01,AD29,1,1,p1,1,8,0,Euler,0.135949896883067,0.231125876847925,0.096772053571469,0.0325174762019528,0.0933537764964943,0.3688219308063,L3,Upper
14,19,eulsef20120915c-01,AD30,1,1,p1,1,9,0,Euler,0.0707451660571221,0.114419277284209,0.0994778330009443,0.0562565225489764,0.0809131824328589,0.338769931522047,L5,Lower
15,19,eulsef20120915c-01,AD31,1,1,p1,1,10,0,Euler,0.113095565650097,0.155749553197325,0.125319774297455,0.0642353413223064,0.0591338674469383,0.309695068089541,L5,Lower
16,19,eulsef20120915c-01,AD32,1,1,p1,1,11,0,Euler,0.0657378928126099,0.203411761001287,0.146338324620651,0.0678568212896159,0.052219735204212,0.660464615853692,L5,Lower
17,19,eulsef20120915c-01,AD33,1,1,p1,1,12,0,Euler,0.0662226914620656,0.155142880242436,0.0977245537808483,0.0443763648104596,0.0774459965527874,0.999146474738268,L5,Lower
18,19,eulsef20120915c-01,AD34,1,1,p1,1,13,0,Euler,0.146636960459135,0.186667994462692,0.109644966493228,0.110242218049626,0.0797521299649226,0.596361455899819,L6,Lower
19,19,eulsef20120915c-01,AD35,1,1,p1,1,14,0,Euler,0.13413981883153,0.0830940486140609,0.195118802075045,0.0494787679767996,0.14576370347415,0.840693728014247,L6,Lower
20,19,eulsef20120915c-01,AD36,1,1,p1,1,15,0,Euler,0.0499147553566503,0.255408633188996,0.285228984743557,0.0841848743320972,0.0413397296632549,0.623540551757414,L6,Lower
21,19,eulsef20120915c-01,AD37,1,1,p1,1,16,0,Euler,0.10229595706792,0.210712187158734,0.18740292678197,0.0426879380530607,0.0884046909682362,0.861528334085215,L6,Lower
22,19,eulsef20120915c-01,AD38,1,1,p1,1,17,0,Euler,0.115370730981806,0.238310333021859,0.159188230225956,0.0325717194367464,0.102674140126754,0.490781271278806,L6,Lower
13,20,xensef20120420a-01,AD29,1,2,p2,1,1,1,Xena,0.0390634438864673,0.186378524653915,0.237398213674968,0.0609502367584223,0.0956979798279956,0.453200492142112,L2,Upper
14,20,xensef20120420a-01,AD30,1,2,p2,1,2,1,Xena,0.0614555456233218,0.131840299036832,0.198152729809781,0.113470014871438,0.11316725991068,0.782559484702856,L2,Upper
15,20,xensef20120420a-01,AD31,1,2,p2,1,3,1,Xena,0.0586068088439375,0.230981634798274,0.139398002315901,0.165452576915602,0.116812103516515,0.424355164382635,L2,Upper
16,20,xensef20120420a-01,AD32,1,2,p2,1,4,1,Xena,0.176639583828907,0.334848052649852,0.400587078388378,0.397337822809041,0.253832253897101,0.288540590291272,L2,Upper
17,20,xensef20120420a-01,AD33,1,2,p2,1,5,1,Xena,0.181622146713151,0.91741266488824,0.0931891278389215,0.201895142554407,0.471584593161524,0.502067207580083,L3,Upper
18,20,xensef20120420a-01,AD34,1,2,p2,1,6,1,Xena,0.185448523527522,0.31977106504911,0.11847142345728,0.104284303178833,0.212519845174898,0.258130259729042,L3,Upper
19,20,xensef20120420a-01,AD35,1,2,p2,1,7,1,Xena,0.212337730538977,0.438886756830529,0.212534835690203,0.186471975670883,0.11481142805829,0.490986596138693,L3,Upper
20,20,xensef20120420a-01,AD36,1,2,p2,1,8,1,Xena,0.276558278304552,0.576740264066709,0.152379581496533,0.0858669818867189,0.0881478663434876,0.42664647037318,L3,Upper
21,20,xensef20120420a-01,AD37,1,2,p2,1,9,1,Xena,0.431503917669743,0.721234846143398,0.137640117243102,0.100077246407391,0.0396480210674151,0.350000761088349,L5,Lower
22,20,xensef20120420a-01,AD38,1,2,p2,1,10,1,Xena,0.535951971928717,0.639521932652348,0.173393789409652,0.178330712064857,0.0796522058784408,0.270305152233841,L5,Lower
23,20,xensef20120420a-01,AD39,1,2,p2,1,11,1,Xena,0.300707273700621,0.624843741393568,0.196978386838394,0.13809468073322,0.0786184386740685,0.189607349773977,L5,Lower
24,20,xensef20120420a-01,AD40,1,2,p2,1,12,1,Xena,0.399134674573995,0.638631812629699,0.145208761960977,0.264200722663381,0.108755936176799,0.24540962274988,L5,Lower
6,21,xensef20120423b-final,AD22,1,2,p2,1,1,1,Xena,0.00142497326858894,0.000545105586021446,0.00109401238238882,0.000499084994326956,0.000995187230220758,0.000982792041566256,L2,Upper
7,21,xensef20120423b-final,AD23,1,2,p2,1,2,1,Xena,0.187181952366721,0.102206021118326,0.0358566608942756,0.207972409221607,0.182254472645092,0.0659081977645634,L2,Upper
8,21,xensef20120423b-final,AD24,1,2,p2,1,3,1,Xena,0.109325331367945,0.0816249517270138,0.0960853077110914,0.257236919310557,0.168532662082795,0.0755312198111626,L2,Upper
9,21,xensef20120423b-final,AD25,1,2,p2,1,4,1,Xena,0.246777031277688,0.245913281101038,0.221112499403435,0.816977442426432,0.330657621602742,0.0821822687841316,L2,Upper
10,21,xensef20120423b-final,AD26,1,2,p2,1,5,1,Xena,0.396978955710328,0.306062519320415,0.147312663665621,0.64577890067816,0.558227499188487,0.140976267984143,L3,Upper
11,21,xensef20120423b-final,AD27,1,2,p2,1,6,1,Xena,0.614646904255146,0.193479691320052,0.16653448817715,0.568528828215322,0.765968208572114,0.201981600572338,L3,Upper
12,21,xensef20120423b-final,AD28,1,2,p2,1,7,1,Xena,0.438044738505784,0.246796165892144,0.0874112958917501,0.145292731398488,0.445645578194225,0.237438214999507,L3,Upper
13,21,xensef20120423b-final,AD29,1,2,p2,1,8,1,Xena,0.569112415831637,0.24366460247169,0.233333013355114,0.365609085555766,0.325633185056564,0.375166813885979,L3,Upper
14,21,xensef20120423b-final,AD30,1,2,p2,1,9,1,Xena,0.410487564124088,0.164852030593678,0.273918003241562,0.411595762337626,0.297870217597724,0.192599211082982,L5,Lower
15,21,xensef20120423b-final,AD31,1,2,p2,1,10,1,Xena,0.237468621324485,0.0597658853203058,0.339878202777734,0.476627564838346,0.214088720690512,0.210573033334458,L5,Lower
